         6966945 function calls (6911152 primitive calls) in 12.633 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9387    0.011    0.000    0.080    0.000 blocks.py:749(copy)
     6354    0.029    0.000    0.078    0.000 cast.py:832(maybe_castable)
     1461    0.008    0.000    0.077    0.000 ops.py:1615(na_op)
     1461    0.001    0.000    0.076    0.000 generic.py:178(_validate_dtype)
    62330    0.045    0.000    0.073    0.000 numerictypes.py:293(issubclass_)
    12632    0.007    0.000    0.069    0.000 common.py:503(is_period_dtype)
     2422    0.016    0.000    0.068    0.000 base.py:786(array)
    11349    0.011    0.000    0.065    0.000 common.py:403(is_datetime64_dtype)
        3    0.065    0.022    0.065    0.022 {_socket.getaddrinfo}
    10531    0.007    0.000    0.064    0.000 common.py:262(is_categorical)
279412/279066    0.062    0.000    0.064    0.000 {issubclass}
    12632    0.014    0.000    0.063    0.000 dtypes.py:827(is_dtype)
     4063    0.005    0.000    0.062    0.000 common.py:1643(is_extension_type)
     7645    0.019    0.000    0.059    0.000 _dtype.py:46(__str__)
     2488    0.015    0.000    0.058    0.000 datetimes.py:309(_simple_new)
    13313    0.008    0.000    0.058    0.000 {method 'any' of 'numpy.ndarray' objects}
     5518    0.007    0.000    0.057    0.000 generic.py:3056(_get_item_cache)
    32582    0.017    0.000    0.057    0.000 series.py:406(dtype)
     1647    0.009    0.000    0.053    0.000 frame.py:378(__init__)
     4682    0.006    0.000    0.051    0.000 blocks.py:364(fillna)
    13870    0.013    0.000    0.050    0.000 common.py:131(is_object_dtype)
    13313    0.006    0.000    0.049    0.000 _methods.py:42(_any)
     4684    0.004    0.000    0.049    0.000 blocks.py:146(is_categorical_astype)
     6038    0.010    0.000    0.047    0.000 base.py:4051(equals)
    13391    0.043    0.000    0.043    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     9411    0.036    0.000    0.043    0.000 blocks.py:3100(_extend_blocks)
    12870    0.015    0.000    0.043    0.000 {pandas._libs.lib.is_scalar}
     6354    0.005    0.000    0.040    0.000 generic.py:5132(_consolidate_inplace)
    32582    0.024    0.000    0.040    0.000 managers.py:1522(dtype)
    55469    0.025    0.000    0.039    0.000 {hasattr}
     3008    0.012    0.000    0.039    0.000 datetimes.py:280(__init__)
     1623    0.022    0.000    0.039    0.000 indexing.py:2575(maybe_convert_indices)
    16569    0.028    0.000    0.039    0.000 series.py:354(_set_axis)
    44289    0.022    0.000    0.038    0.000 series.py:392(name)
     2644    0.007    0.000    0.037    0.000 algorithms.py:1250(wrapper)
     1564    0.013    0.000    0.036    0.000 cast.py:953(maybe_cast_to_datetime)
     6356    0.008    0.000    0.035    0.000 generic.py:5122(_protect_consolidate)
    19288    0.012    0.000    0.034    0.000 integer.py:80(construct_from_string)
     6699    0.016    0.000    0.033    0.000 managers.py:139(shape)
     1623    0.006    0.000    0.033    0.000 common.py:93(is_bool_indexer)
     1660    0.011    0.000    0.032    0.000 managers.py:306(_verify_integrity)
     7362    0.006    0.000    0.032    0.000 common.py:472(is_timedelta64_dtype)
     2835    0.002    0.000    0.031    0.000 numeric.py:541(asanyarray)
    11026    0.015    0.000    0.031    0.000 generic.py:5036(__finalize__)
    52230    0.029    0.000    0.029    0.000 _weakrefset.py:70(__contains__)
       29    0.028    0.001    0.029    0.001 message.py:1469(unpack)
      330    0.001    0.000    0.028    0.000 range.py:272(_shallow_copy)
    16816    0.013    0.000    0.028    0.000 common.py:746(is_dtype_equal)
     6357    0.004    0.000    0.028    0.000 arrays.py:7(extract_array)
     2488    0.005    0.000    0.027    0.000 datetimelike.py:729(_hasnans)
     1902    0.005    0.000    0.027    0.000 numpy_.py:127(__init__)
     1813    0.002    0.000    0.027    0.000 common.py:1431(needs_i8_conversion)
       41    0.000    0.000    0.027    0.001 frame.py:3356(__setitem__)
     1624    0.006    0.000    0.026    0.000 numeric.py:34(__new__)
     6306    0.008    0.000    0.026    0.000 ops.py:43(get_op_result_name)
     6354    0.008    0.000    0.025    0.000 generic.py:5135(f)
    42399    0.018    0.000    0.025    0.000 common.py:1809(_get_dtype)
       41    0.000    0.000    0.025    0.001 frame.py:3433(_set_item)
    18216    0.025    0.000    0.025    0.000 generic.py:127(__init__)
     7216    0.016    0.000    0.024    0.000 base.py:3918(__contains__)
      878    0.003    0.000    0.024    0.000 managers.py:934(get)
   197923    0.023    0.000    0.023    0.000 collection.py:310(database)
    24165    0.019    0.000    0.022    0.000 blocks.py:199(mgr_locs)
      604    0.002    0.000    0.022    0.000 common.py:1320(is_datetimelike_v_numeric)
     1902    0.009    0.000    0.022    0.000 numpy_.py:35(__init__)
       41    0.000    0.000    0.022    0.001 generic.py:3171(_set_item)
      878    0.002    0.000    0.022    0.000 frame.py:3342(_box_item_values)
