         6841678 function calls (6787189 primitive calls) in 13.844 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3247    0.002    0.000    0.004    0.000 managers.py:927(_consolidate_inplace)
     1766    0.001    0.000    0.004    0.000 numpy_.py:170(__array__)
     4683    0.003    0.000    0.003    0.000 inspect.py:59(isclass)
     2405    0.003    0.000    0.003    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      865    0.002    0.000    0.003    0.000 generic.py:3070(_set_as_cached)
     1625    0.001    0.000    0.003    0.000 managers.py:291(__len__)
    15684    0.003    0.000    0.003    0.000 series.py:338(_constructor)
        3    0.000    0.000    0.003    0.001 frame.py:4666(f)
    16552    0.003    0.000    0.003    0.000 numeric.py:113(is_all_dates)
        3    0.000    0.000    0.003    0.001 _decorators.py:146(wrapper)
        3    0.000    0.000    0.003    0.001 algorithms.py:559(factorize)
     1481    0.002    0.000    0.003    0.000 cast.py:1218(construct_1d_ndarray_preserving_na)
        1    0.000    0.000    0.003    0.003 concat.py:383(get_result)
     1619    0.002    0.000    0.003    0.000 generic.py:144(_init_mgr)
     9151    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x000000006EA691E0}
        1    0.000    0.000    0.003    0.003 construction.py:170(init_dict)
    11576    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
      908    0.002    0.000    0.003    0.000 base.py:3940(__getitem__)
     7515    0.002    0.000    0.003    0.000 {pandas._libs.algos.ensure_int64}
     1734    0.003    0.000    0.003    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
    18762    0.003    0.000    0.003    0.000 managers.py:1578(_consolidate_inplace)
     1621    0.002    0.000    0.003    0.000 indexing.py:2450(convert_to_index_sliceable)
        1    0.000    0.000    0.003    0.003 mongo_client.py:84(__init__)
     4058    0.002    0.000    0.002    0.000 {numpy.seterrobj}
     4148    0.002    0.000    0.002    0.000 base.py:633(_reset_identity)
      284    0.002    0.000    0.002    0.000 {pandas._libs.algos.take_2d_axis0_float64_float64}
     9381    0.002    0.000    0.002    0.000 managers.py:1513(index)
     2029    0.002    0.000    0.002    0.000 numeric.py:3054(__init__)
     1620    0.002    0.000    0.002    0.000 {method 'take' of 'numpy.ndarray' objects}
     9287    0.002    0.000    0.002    0.000 {max}
    12700    0.002    0.000    0.002    0.000 datetimes.py:515(dtype)
     1623    0.002    0.000    0.002    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
     4813    0.002    0.000    0.002    0.000 {pandas._libs.missing.checknull}
     7509    0.002    0.000    0.002    0.000 blocks.py:304(shape)
       16    0.000    0.000    0.002    0.000 pool.py:979(get_socket)
     1186    0.001    0.000    0.002    0.000 frame.py:937(__len__)
       45    0.000    0.000    0.002    0.000 cast.py:846(maybe_infer_to_datetimelike)
      309    0.002    0.000    0.002    0.000 {pandas._libs.algos.take_2d_axis0_int64_int64}
     7882    0.002    0.000    0.002    0.000 common.py:122(classes_and_not_datetimelike)
     1513    0.001    0.000    0.002    0.000 blocks.py:184(to_dense)
     1604    0.001    0.000    0.002    0.000 blocks.py:2099(_maybe_coerce_values)
     4867    0.002    0.000    0.002    0.000 managers.py:591(is_consolidated)
     3971    0.002    0.000    0.002    0.000 {numpy.datetime_data}
       22    0.000    0.000    0.002    0.000 frame.py:742(iteritems)
     9952    0.002    0.000    0.002    0.000 datetimelike.py:811(freq)
     2488    0.002    0.000    0.002    0.000 datetimelike.py:76(freq)
       35    0.001    0.000    0.002    0.000 {pandas._libs.lib.infer_dtype}
      260    0.001    0.000    0.002    0.000 datetimes.py:585(__array__)
     3256    0.002    0.000    0.002    0.000 {method 'fill' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.002    0.001 managers.py:1134(insert)
     1915    0.001    0.000    0.002    0.000 construction.py:471(<genexpr>)
     8116    0.002    0.000    0.002    0.000 {numpy.geterrobj}
     1660    0.001    0.000    0.002    0.000 __init__.py:210(iteritems)
     6167    0.002    0.000    0.002    0.000 blocks.py:191(fill_value)
     2399    0.002    0.000    0.002    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
       16    0.000    0.000    0.002    0.000 generic.py:5699(copy)
       19    0.000    0.000    0.002    0.000 periodic_executor.py:53(open)
     1628    0.001    0.000    0.002    0.000 base.py:551(<dictcomp>)
        8    0.000    0.000    0.002    0.000 contextlib.py:15(__enter__)
        8    0.000    0.000    0.001    0.000 pool.py:1016(_get_socket_no_auth)
       39    0.000    0.000    0.001    0.000 series.py:865(__getitem__)
     7155    0.001    0.000    0.001    0.000 {pandas._libs.lib.is_float}
       17    0.000    0.000    0.001    0.000 managers.py:710(copy)
     2557    0.001    0.000    0.001    0.000 common.py:634(condition)
        2    0.000    0.000    0.001    0.001 frame.py:3356(__setitem__)
     4543    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
       39    0.000    0.000    0.001    0.000 base.py:4342(get_value)
        1    0.000    0.000    0.001    0.001 pool.py:958(connect)
        9    0.000    0.000    0.001    0.000 topology.py:132(open)
     4992    0.001    0.000    0.001    0.000 managers.py:206(items)
        2    0.000    0.000    0.001    0.001 frame.py:3433(_set_item)
        8    0.000    0.000    0.001    0.000 managers.py:1796(_simple_blockify)
        9    0.000    0.000    0.001    0.000 topology.py:460(_ensure_opened)
     9383    0.001    0.000    0.001    0.000 {pandas._libs.lib.is_bool}
     1621    0.001    0.000    0.001    0.000 base.py:3806(_coerce_to_ndarray)
     4976    0.001    0.000    0.001    0.000 datetimes.py:54(tz_to_dtype)
        3    0.000    0.000    0.001    0.000 base.py:4919(insert)
        2    0.000    0.000    0.001    0.001 threading.py:717(start)
     89/9    0.000    0.000    0.001    0.000 abc.py:148(__subclasscheck__)
     1627    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
