         7577645 function calls (7535716 primitive calls) in 22.257 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1723    0.004    0.000    0.093    0.000 indexing.py:2475(check_bool_indexer)
20210/16630    0.011    0.000    0.091    0.000 numeric.py:469(asarray)
      131    0.001    0.000    0.090    0.001 construction.py:382(to_arrays)
      130    0.002    0.000    0.088    0.001 construction.py:469(_list_of_dict_to_arrays)
     2618    0.005    0.000    0.087    0.000 datetimes.py:1892(maybe_convert_dtype)
    18544    0.018    0.000    0.086    0.000 dtypes.py:827(is_dtype)
     8439    0.032    0.000    0.085    0.000 cast.py:832(maybe_castable)
3927/1309    0.007    0.000    0.084    0.000 {operator.gt}
    78204    0.052    0.000    0.084    0.000 numerictypes.py:293(issubclass_)
     6047    0.006    0.000    0.083    0.000 common.py:1643(is_extension_type)
3537/1179    0.006    0.000    0.082    0.000 {operator.le}
     2114    0.004    0.000    0.081    0.000 series.py:669(__array__)
      131    0.001    0.000    0.077    0.001 construction.py:484(_convert_object_array)
365338/365018    0.075    0.000    0.077    0.000 {issubclass}
     2083    0.003    0.000    0.076    0.000 construction.py:495(convert)
      130    0.001    0.000    0.076    0.001 concat.py:440(_get_new_axes)
      260    0.007    0.000    0.075    0.000 format.py:931(_format_strings)
     2618    0.062    0.000    0.072    0.000 datetimes.py:72(_to_M8)
     9820    0.023    0.000    0.071    0.000 _dtype.py:46(__str__)
      130    0.000    0.000    0.070    0.001 _decorators.py:195(wrapper)
      130    0.001    0.000    0.070    0.001 frame.py:3942(rename)
    13071    0.012    0.000    0.069    0.000 common.py:403(is_datetime64_dtype)
     3157    0.007    0.000    0.068    0.000 managers.py:934(get)
      130    0.002    0.000    0.067    0.001 generic.py:960(rename)
     1421    0.001    0.000    0.067    0.000 generic.py:178(_validate_dtype)
     1421    0.007    0.000    0.066    0.000 ops.py:1615(na_op)
    21258    0.017    0.000    0.064    0.000 common.py:131(is_object_dtype)
    41941    0.018    0.000    0.064    0.000 series.py:406(dtype)
     3157    0.006    0.000    0.063    0.000 frame.py:3342(_box_item_values)
     2505    0.013    0.000    0.063    0.000 base.py:786(array)
      130    0.000    0.000    0.060    0.000 managers.py:159(rename_axis)
     3226    0.009    0.000    0.056    0.000 cast.py:846(maybe_infer_to_datetimelike)
      260    0.001    0.000    0.055    0.000 format.py:241(_get_formatted_index)
     2618    0.014    0.000    0.055    0.000 datetimes.py:309(_simple_new)
      260    0.001    0.000    0.054    0.000 base.py:983(format)
      260    0.002    0.000    0.054    0.000 base.py:998(_format_with_header)
    13323    0.046    0.000    0.053    0.000 blocks.py:3100(_extend_blocks)
      420    0.004    0.000    0.053    0.000 managers.py:1810(_multi_blockify)
    13081    0.008    0.000    0.052    0.000 {method 'any' of 'numpy.ndarray' objects}
      520    0.004    0.000    0.052    0.000 format.py:1384(_make_fixed_width)
      781    0.001    0.000    0.049    0.000 managers.py:1796(_simple_blockify)
     3157    0.013    0.000    0.048    0.000 managers.py:963(iget)
    29854    0.017    0.000    0.046    0.000 {pandas._libs.lib.is_scalar}
     4760    0.003    0.000    0.046    0.000 blocks.py:146(is_categorical_astype)
     4630    0.005    0.000    0.046    0.000 blocks.py:364(fillna)
      130    0.000    0.000    0.046    0.000 concat.py:464(_get_comb_axis)
    41941    0.028    0.000    0.046    0.000 managers.py:1522(dtype)
    61596    0.034    0.000    0.046    0.000 range.py:510(__len__)
     3157    0.005    0.000    0.045    0.000 frame.py:3349(_box_col_values)
      130    0.001    0.000    0.045    0.000 api.py:44(_get_objs_combined_axis)
    13081    0.006    0.000    0.045    0.000 _methods.py:42(_any)
    21113    0.033    0.000    0.045    0.000 series.py:354(_set_axis)
    55929    0.025    0.000    0.044    0.000 series.py:392(name)
    10513    0.006    0.000    0.043    0.000 generic.py:5132(_consolidate_inplace)
    76843    0.028    0.000    0.042    0.000 {hasattr}
    13512    0.042    0.000    0.042    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    28470    0.012    0.000    0.041    0.000 base.py:5318(ensure_index)
      262    0.001    0.000    0.041    0.000 frame.py:3356(__setitem__)
    31320    0.024    0.000    0.040    0.000 blocks.py:199(mgr_locs)
      130    0.000    0.000    0.040    0.000 api.py:87(_get_combined_index)
     3710    0.002    0.000    0.040    0.000 managers.py:927(_consolidate_inplace)
     1950    0.002    0.000    0.040    0.000 series.py:3735(reindex)
     3526    0.005    0.000    0.039    0.000 format.py:945(_format)
    10773    0.010    0.000    0.038    0.000 generic.py:5122(_protect_consolidate)
     5460    0.003    0.000    0.038    0.000 config.py:226(__call__)
      130    0.001    0.000    0.038    0.000 api.py:128(_union_indexes)
      262    0.001    0.000    0.038    0.000 frame.py:3433(_set_item)
     3138    0.011    0.000    0.037    0.000 datetimes.py:280(__init__)
     1950    0.007    0.000    0.037    0.000 generic.py:4113(reindex)
     9032    0.007    0.000    0.037    0.000 common.py:472(is_timedelta64_dtype)
     1950    0.003    0.000    0.036    0.000 range.py:441(union)
     1983    0.006    0.000    0.036    0.000 common.py:93(is_bool_indexer)
     5460    0.004    0.000    0.036    0.000 config.py:96(_get_option)
    13194    0.016    0.000    0.035    0.000 generic.py:5036(__finalize__)
     7426    0.015    0.000    0.034    0.000 managers.py:139(shape)
    17630    0.006    0.000    0.034    0.000 format.py:301(len)
